Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Trevor Ruffin,Career,NBA,110.0,24.0,17.0,3.2,7.7,0.41100000000000003,1.3,3.5,0.371,1.9,4.2,0.444,0.495,1.6,2.0,0.795,0.3,1.1,1.4,2.9,0.5,0.0,1.8,1.7,9.2
Paul Ruffner,Career,TOT,133,,9.6,1.7,3.7,.471,0.0,0.0,,1.7,3.7,.471,.471,0.7,1.1,.688,1.1,2.0,3.0,0.5,0.1,0.1,0.9,1.7,4.2
Joe Ruklick,Career,NBA,114,,8.0,1.5,4.2,0.366,,,,,,,,0.4,0.7,0.613,,,2.5,0.4,,,,1.4,3.5
Jeff Ruland,Career,NBA,332,189,33.4,6.3,11.2,.564,0.0,0.1,.158,6.3,11.2,.566,.564,4.7,6.5,.718,3.3,6.9,10.2,3.0,0.8,0.8,3.7,3.7,17.4
Bob Rule,Career,NBA,403.0,,29.4,6.9,15.0,0.461,,,,,,,,3.6,5.3,0.6859999999999999,1.6,2.2,8.3,1.5,0.4,0.4,,3.1,17.4
Jerry Rullo,Career,TOT,95.0,,,1.1,3.9,0.292,,,,,,,,0.6,1.0,0.591,,,,0.7,,,,1.4,2.9
Stefano Rusconi,Career,NBA,7,0,4.3,0.4,1.3,0.33299999999999996,0.0,0.0,,0.4,1.3,0.33299999999999996,0.33299999999999996,0.3,0.7,0.4,0.4,0.4,0.9,0.4,0.0,0.3,0.4,1.4,1.1
Brandon Rush,Career,NBA,481.0,163.0,22.0,2.5,5.9,0.426,1.1,2.7,0.402,1.5,3.2,0.447,0.518,0.6,0.8,0.706,0.4,2.5,2.9,1.0,0.5,0.5,0.8,1.3,6.8
Kareem Rush,Career,NBA,346,78,17.2,2.5,6.3,.400,0.8,2.3,.358,1.7,4.0,.425,.466,0.5,0.7,.703,0.3,1.4,1.7,1.0,0.4,0.2,0.9,1.3,6.4
Bill Russell,Career,NBA,963,,42.3,5.9,13.4,0.44,,,,,,,,3.3,5.8,0.561,,,22.5,4.3,,,,2.7,15.1
Bryon Russell,Career,NBA,841.0,392.0,23.5,2.7,6.3,0.431,0.8,2.2,0.369,1.9,4.1,0.465,0.496,1.7,2.3,0.75,0.9,2.6,3.5,1.3,1.0,0.2,1.0,2.4,7.9
Campy Russell,Career,NBA,566,63,29.6,6.0,13.1,.459,0.2,0.5,.366,5.9,12.9,.461,.462,3.8,4.9,.772,1.6,3.2,4.8,3.0,1.0,0.2,3.0,2.7,15.8
